timestamp,percent_usage
2026-07-30T12:06:07.343616,0.00
2026-07-30T12:06:08.344298,0.00
2026-07-30T12:06:09.344721,0.00
2026-07-30T12:06:10.345095,0.00
2026-07-30T12:06:11.345658,0.00
2026-07-30T12:06:12.346183,0.00
2026-07-30T12:06:13.346735,0.00
2026-07-30T12:06:14.347348,0.00
2026-07-30T12:06:15.347877,0.00
2026-07-30T12:06:16.348408,0.00
2026-07-30T12:06:17.348973,0.00
2026-07-30T12:06:18.349551,0.00
2026-07-30T12:06:19.350019,0.00
2026-07-30T12:06:20.350426,0.00
2026-07-30T12:06:21.350985,0.00
2026-07-30T12:06:22.351527,0.00
2026-07-30T12:06:23.351923,0.00
2026-07-30T12:06:24.352461,0.00
2026-07-30T12:06:25.352901,0.00
2026-07-30T12:06:26.353374,0.00
2026-07-30T12:06:27.353896,0.00
2026-07-30T12:06:28.354408,0.00
2026-07-30T12:06:29.354802,0.00
2026-07-30T12:06:30.355330,0.00
2026-07-30T12:06:31.355825,0.00
2026-07-30T12:06:32.356394,0.00
2026-07-30T12:06:33.356947,0.00
2026-07-30T12:06:34.357446,0.00
2026-07-30T12:06:35.357914,0.00
2026-07-30T12:06:36.358385,0.00
2026-07-30T12:06:37.358942,0.00
2026-07-30T12:06:38.359526,0.00
2026-07-30T12:06:39.360037,0.00
2026-07-30T12:06:40.360575,0.00
2026-07-30T12:06:41.361132,0.00
2026-07-30T12:06:42.361709,0.00
2026-07-30T12:06:43.362255,0.00
2026-07-30T12:06:44.362785,0.00
2026-07-30T12:06:45.363330,0.00
2026-07-30T12:06:46.363855,0.00
2026-07-30T12:06:47.364422,0.00
2026-07-30T12:06:48.364823,0.00
2026-07-30T12:06:49.365390,0.00
2026-07-30T12:06:50.365793,0.00
2026-07-30T12:06:51.366344,0.00
2026-07-30T12:06:52.366817,0.00
2026-07-30T12:06:53.367355,0.00
2026-07-30T12:06:54.367907,0.00
2026-07-30T12:06:55.368425,0.00
2026-07-30T12:06:56.368811,0.00
2026-07-30T12:06:57.369349,0.00
2026-07-30T12:06:58.369727,0.00
2026-07-30T12:06:59.370346,0.00
2026-07-30T12:07:00.370808,0.00
2026-07-30T12:07:01.371304,0.00
2026-07-30T12:07:02.371826,0.00
2026-07-30T12:07:03.372350,0.00
2026-07-30T12:07:04.372787,0.00
2026-07-30T12:07:05.373355,0.00
2026-07-30T12:07:06.373760,0.00
2026-07-30T12:07:07.374365,0.00
2026-07-30T12:07:08.374950,0.00
2026-07-30T12:07:09.375453,0.00
